year,month,spec,la2,lo2,pods,bat1,chlor0103,chlor0104,chlor0105,chlor0106,chlor0107,chlor0108,mlotst0103,mlotst0104,mlotst0105,mlotst0106,mlotst0107,mlotst0108,sst0103,sst0104,sst0105,sst0106,sst0107,sst0108
"2001","6",mn,66.8610000000,-20.6120000000,"1",-306.0000000000,0.2287333459,0.2029586285,0.9321214557,0.6625124812,0.4713043273,1.2123194933,244.7584533700,164.6473693800,27.3140678410,13.2755517960,12.6651821140,11.4444417950,275.9780273400,275.7523193400,277.6235961900,278.4137878400,280.0101318400,279.3058471700
"2001","6",mn,66.8630000000,-20.5910000000,"1",-300.0000000000,0.2287333459,0.2029586285,0.9321214557,0.6625124812,0.4713043273,1.2123194933,244.7584533700,164.6473693800,27.3140678410,13.2755517960,12.6651821140,11.4444417950,275.9780273400,275.7523193400,277.6235961900,278.4137878400,280.0101318400,279.3058471700
"2001","7",mn,65.1590000000,-11.4810000000,"1",-332.0000000000,0.2469768673,0.2578957677,1.6076556444,1.0012428761,0.5275496841,0.6438299418,195.1658783000,139.6221923800,15.5644407270,12.9703674320,10.8340711590,11.7496271130,275.4617614700,275.4866638200,276.4050598100,277.7525634800,280.3810119600,281.0602111800
"2001","7",mn,65.3320000000,-12.4620000000,"2",-228.0000000000,0.2937445045,0.2887397707,0.5535217524,1.0174201727,0.7613977194,0.6205664277,165.8681030300,121.6162643400,14.6488857270,13.1229600910,10.8340711590,11.5970344540,275.6018981900,275.6007690400,276.3424682600,277.1667785600,280.0270690900,281.2018737800
"2001","7",mn,65.3340000000,-12.4730000000,"2",-229.0000000000,0.2937445045,0.2887397707,0.5535217524,1.0174201727,0.7613977194,0.6205664277,165.8681030300,121.6162643400,14.6488857270,13.1229600910,10.8340711590,11.5970344540,275.6018981900,275.6007690400,276.3424682600,277.1667785600,280.0270690900,281.2018737800
"2001","7",mn,65.3450000000,-12.4900000000,"2",-239.0000000000,0.2937445045,0.2887397707,0.5535217524,1.0174201727,0.7613977194,0.6205664277,165.8681030300,121.6162643400,14.6488857270,13.1229600910,10.8340711590,11.5970344540,275.5895385700,275.5752868700,276.3316345200,277.1432800300,280.0365295400,281.2053833000
"2001","7",mn,65.3670000000,-12.5270000000,"1",-262.0000000000,0.2937445045,0.2887397707,0.5535217524,1.0174201727,0.7613977194,0.6205664277,165.8681030300,121.6162643400,14.6488857270,13.1229600910,10.8340711590,11.5970344540,275.6044616700,275.5462341300,276.2479248000,277.1293945300,280.0575256300,281.2749328600
"2001","7",mn,65.3660000000,-12.5330000000,"1",-268.0000000000,0.2937445045,0.2887397707,0.5535217524,1.0174201727,0.7613977194,0.6205664277,165.8681030300,121.6162643400,14.6488857270,13.1229600910,10.8340711590,11.5970344540,275.6044616700,275.5462341300,276.2479248000,277.1293945300,280.0575256300,281.2749328600
"2001","7",mn,65.3660000000,-12.5330000000,"1",-268.0000000000,0.2937445045,0.2887397707,0.5535217524,1.0174201727,0.7613977194,0.6205664277,165.8681030300,121.6162643400,14.6488857270,13.1229600910,10.8340711590,11.5970344540,275.6044616700,275.5462341300,276.2479248000,277.1293945300,280.0575256300,281.2749328600
"2001","7",mn,65.3610000000,-12.5510000000,"1",-285.0000000000,0.2934365571,0.2753627300,0.5083679557,0.9488771558,0.7924063802,0.6122056246,166.1732940700,119.4799728400,14.6488857270,12.9703674320,10.8340711590,11.5970344540,275.6044616700,275.5462341300,276.2479248000,277.1293945300,280.0575256300,281.2749328600
"2001","7",mn,65.3610000000,-12.5520000000,"1",-285.0000000000,0.2934365571,0.2753627300,0.5083679557,0.9488771558,0.7924063802,0.6122056246,166.1732940700,119.4799728400,14.6488857270,12.9703674320,10.8340711590,11.5970344540,275.6044616700,275.5462341300,276.2479248000,277.1293945300,280.0575256300,281.2749328600
